# delay 35_H_I 35_H_Q 22_H_I 22_H_Q 35_V_I 35_V_Q 22_V_I 22_V_Q
    15 1015.8 1018.9 1022.5 1019.0 1015.8 1018.9 1022.6 1018.9
    17 1015.9 1018.9 1022.6 1019.0 1015.8 1018.9 1022.6 1018.9
    19 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.6 1019.0
    21 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.6 1019.0
    23 1015.8 1018.8 1022.5 1019.0 1015.9 1018.8 1022.7 1019.0
    25 1015.8 1018.9 1022.6 1019.0 1015.7 1018.9 1022.5 1019.0
    27 1015.7 1018.9 1022.5 1018.9 1015.7 1018.9 1022.5 1019.0
    29 1015.8 1018.9 1022.7 1019.0 1015.8 1018.9 1022.6 1018.9
    31 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.7 1019.0
    33 1015.8 1018.8 1022.5 1019.0 1015.8 1018.9 1022.6 1018.9
    35 1015.7 1018.9 1022.5 1019.0 1015.7 1018.9 1022.6 1019.0
    37 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.6 1019.0
    39 1015.7 1018.9 1022.6 1019.0 1015.7 1018.9 1022.5 1019.0
    41 1015.8 1018.8 1022.6 1019.0 1015.8 1018.9 1022.6 1019.0
    43 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.6 1018.9
    45 1015.8 1018.9 1022.5 1019.0 1015.8 1018.9 1022.6 1019.0
    47 1015.8 1018.9 1022.6 1019.0 1015.7 1018.9 1022.7 1019.0
    49 1015.8 1018.9 1022.5 1019.0 1015.8 1018.9 1022.5 1019.0
    51 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.5 1019.0
    53 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.6 1019.0
    55 1015.8 1019.0 1022.6 1018.9 1015.8 1018.9 1022.7 1019.0
    57 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.6 1019.0
    59 1015.8 1018.9 1022.7 1019.0 1015.8 1018.9 1022.6 1018.9
    61 1015.8 1018.9 1022.6 1019.0 1015.9 1018.9 1022.6 1019.0
    63 1015.9 1018.9 1022.7 1019.0 1015.8 1018.9 1022.7 1019.0
    65 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.7 1019.0
    67 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.7 1019.0
    69 1015.8 1018.9 1022.6 1018.9 1015.8 1018.9 1022.6 1018.9
    71 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.6 1019.0
    73 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.6 1019.0
    75 1015.8 1018.8 1022.6 1019.0 1015.8 1018.8 1022.6 1019.0
    77 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.6 1019.0
    79 1015.8 1018.9 1022.6 1019.0 1015.9 1018.9 1022.6 1019.0
    81 1015.9 1018.9 1022.6 1019.0 1015.8 1018.9 1022.6 1019.0
    83 1015.8 1018.9 1022.7 1019.0 1015.8 1018.9 1022.6 1019.0
    85 1015.8 1018.9 1022.6 1019.0 1015.9 1018.9 1022.6 1019.0
    87 1015.8 1018.9 1022.6 1019.0 1015.7 1018.9 1022.7 1019.0
    89 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.6 1019.0
    91 1015.9 1018.9 1022.6 1019.0 1015.8 1018.9 1022.6 1019.0
    93 1015.8 1018.9 1022.6 1019.0 1015.7 1018.8 1022.6 1019.0
    95 1015.7 1018.9 1022.6 1019.0 1015.7 1018.9 1022.6 1019.0
